시간,메인플랜,체력관리,플랜B
10:30-11:50,푸동공항->디즈니 이동(디디),차량 내 수분/스트레칭,정체 시 지하철 전환
11:50-12:20,입장준비/보안검색,서두르지 않고 여권+QR 확인,5분 간격 짧은 휴식
12:20-13:00,점심+짐보관,과식 금지/앉아서 식사,2+2 분할 주문
13:00-13:20,주토피아 이동/대기확인,걷기 속도 낮춤,대기70분↑면 캐리비안 우선
13:20-14:00,주토피아 탑승,핵심1개 완료,혼잡 시 포토 후 재진입
14:00-14:10,주토피아 근접 쇼핑(Fashions by Fru Fru),랜드 내 10분 컷,메인 구매는 미루기
14:10-14:25,의무 휴식,종아리/허리 스트레칭,휴식 생략 금지
14:25-15:05,캐리비안 해적,실내형으로 회복,대기 길면 실내 우회
15:05-15:15,Treasure Cove 근접 쇼핑(Doubloon Market),근접 매장만 짧게,혼잡 시 즉시 스킵
15:15-15:35,간식+화장실,수분+당 보충,실내 매장 벤치 활용
15:35-16:20,트론 시도,고강도 1회 원칙,대기75분↑면 저녁 후 재도전
16:20-16:35,Tomorrowland 근접 쇼핑(Intergalactic Imports/Power Supplies),TRON 동선 내 흡수,시간 초과 금지
16:35-17:20,짧은 대기 1개,이동 최소화,40분 초과 시 스킵
17:30-18:20,이른 저녁,앉아서 회복,테이크아웃 대체
18:20-18:50,식후 짧은 산책,다리 회복,피로시 20분 정지휴식
18:50-19:30,추가 탑승 1개,무리 금지,쇼핑으로 대체
19:30-20:15,관람 위치 이동,군중 전 자리 확보,후방 시야 확보
20:15-21:15,관람 대기(기본),앉아서 체력 보존,앱에서 샵 마감시간 확인
20:20-20:45,메인 굿즈 구매(A안: 쇼핑 우선),파크 내 대형샵 1회 집중,쇼 관람 포기/축소 시 실행
21:15-21:35,일루미네이션 관람,하이라이트 집중,측면 관람 전환
21:35-21:55,인파 분산 대기,급이동 금지,10~20분 체류
21:35-22:00,누락 굿즈 회수(B안: Disneytown),파크 내 샵 마감 시 대체,체력 낮으면 생략
21:55-22:20,디즈니->숙소(5km),디디 우선,픽업포인트 이동 
